time,Year,n_T,n_P1,n_P2,i_ILI,Week,season,pop,temp,ah,h3_inc,rhino_inc
2,2016,3588,23,101,0.0043,47,s16-17,7391700,0.34054895457402845,0.222925743114375,0,0
3,2016,3464,22,87,0.0044,48,s16-17,7391700,-0.7417996892723578,-0.4118168414268783,0,0
4,2016,3519,31,117,0.0042,49,s16-17,7391700,-0.914307699345561,-1.205434239194907,0,0
5,2016,3657,32,106,0.004,50,s16-17,7391700,-0.6082451008285882,-1.1509927041253896,0,0
6,2016,3786,36,124,0.0036,51,s16-17,7391700,-0.8753542777161282,-1.222922699994084,0,0
7,2016,3657,45,110,0.0037,52,s16-17,7391700,-0.6332865861617953,-0.7606644732473395,0,0
8,2016,3508,23,81,0.0046,53,s16-17,7391700,-1.3177538519361167,-1.523350049026566,0,0
9,2017,3777,33,80,0.0042,1,s16-17,7391700,-0.5219910957919865,-0.5889791245171342,0,0
10,2017,3999,39,99,0.0037,2,s16-17,7391700,-1.1174219692704617,-0.9112589155477244,0,0
11,2017,3780,40,79,0.004,3,s16-17,7391700,-1.3316657882323433,-1.132382728912946,0,0
12,2017,3464,42,50,0.0046,4,s16-17,7391700,-1.2760180430474384,-1.377412164767433,0,0
13,2017,4405,54,75,0.0043,5,s16-17,7391700,-1.086815709418764,-0.8463054178427645,0,0
14,2017,4104,49,71,0.0042,6,s16-17,7391700,-1.6293812249715809,-1.5482629218709776,0,0
15,2017,4209,36,58,0.0053,7,s16-17,7391700,-1.103510032974236,-1.444036184676537,0,0
16,2017,4321,52,58,0.0046,8,s16-17,7391700,-1.5069561855647913,-0.8981397490590667,0,0
17,2017,4103,33,44,0.0057,9,s16-17,7391700,-1.178634488973856,-1.536134395033376,0,0
18,2017,4222,32,40,0.0054,10,s16-17,7391700,-1.0979452584557456,-0.758905048920148,0,0
19,2017,4167,41,50,0.0048,11,s16-17,7391700,-0.8670071159383929,-0.5240509489835486,0,0
20,2017,4095,54,46,0.0047,12,s16-17,7391700,-0.5943331645323618,-0.30380188259126906,0,0
21,2017,4116,75,46,0.005,13,s16-17,7391700,-0.7724059491240554,-0.7974771965073197,0,0
22,2017,4084,70,65,0.0049,14,s16-17,7391700,-0.18532223742331624,-0.31848419373496656,0,0
23,2017,3202,68,48,0.0047,15,s16-17,7391700,-0.11576255594218587,0.11444607746226272,0,0
24,2017,4951,157,119,0.0036,16,s16-17,7391700,0.2376006259819557,0.3370648316216152,0,0
25,2017,3948,139,112,0.004,17,s16-17,7391700,-0.3327887621633122,-0.1963453452655486,0,0
